cfgid,usemsk,B,a,g,R,r,S,b,x,l,C,u,d
0001,true,true,30x99x10,0,0,2,0.05,1,0,0,3,0,0
0002,true,true,30x99x10,0,0,2,0.05,1,0,0,3,0.5,0
0003,true,true,30x99x10,0,0,2,0.05,1,0,0,3,1,0
0004,true,true,30x99x10,0,0,2,0.05,1,0,0,3,1.5,0
0005,true,true,30x99x10,0,0,2,0.05,1,0,0,3,2,0
0006,true,true,30x99x10,0,0,2,0.05,1,0,0,3,0,0.5
0007,true,true,30x99x10,0,0,2,0.05,1,0,0,3,0.5,0.5
0008,true,true,30x99x10,0,0,2,0.05,1,0,0,3,1,0.5
0009,true,true,30x99x10,0,0,2,0.05,1,0,0,3,1.5,0.5
0010,true,true,30x99x10,0,0,2,0.05,1,0,0,3,2,0.5
0011,true,true,30x99x10,0,0,2,0.05,1,0,0,3,0,1
0012,true,true,30x99x10,0,0,2,0.05,1,0,0,3,0.5,1
0013,true,true,30x99x10,0,0,2,0.05,1,0,0,3,1,1
0014,true,true,30x99x10,0,0,2,0.05,1,0,0,3,1.5,1
0015,true,true,30x99x10,0,0,2,0.05,1,0,0,3,2,1
0016,true,true,30x99x10,0,0,2,0.05,1,0,0,3,0,1.5
0017,true,true,30x99x10,0,0,2,0.05,1,0,0,3,0.5,1.5
0018,true,true,30x99x10,0,0,2,0.05,1,0,0,3,1,1.5
0019,true,true,30x99x10,0,0,2,0.05,1,0,0,3,1.5,1.5
0020,true,true,30x99x10,0,0,2,0.05,1,0,0,3,2,1.5
0021,true,true,30x99x10,0,0,2,0.05,1,0,0,3,0,2
0022,true,true,30x99x10,0,0,2,0.05,1,0,0,3,0.5,2
0023,true,true,30x99x10,0,0,2,0.05,1,0,0,3,1,2
0024,true,true,30x99x10,0,0,2,0.05,1,0,0,3,1.5,2
0025,true,true,30x99x10,0,0,2,0.05,1,0,0,3,2,2
0026,true,true,30x99x10,0,0,2,0.15,1,0,0,3,0,0
0027,true,true,30x99x10,0,0,2,0.15,1,0,0,3,0.5,0
0028,true,true,30x99x10,0,0,2,0.15,1,0,0,3,1,0
0029,true,true,30x99x10,0,0,2,0.15,1,0,0,3,1.5,0
0030,true,true,30x99x10,0,0,2,0.15,1,0,0,3,2,0
0031,true,true,30x99x10,0,0,2,0.15,1,0,0,3,0,0.5
0032,true,true,30x99x10,0,0,2,0.15,1,0,0,3,0.5,0.5
0033,true,true,30x99x10,0,0,2,0.15,1,0,0,3,1,0.5
0034,true,true,30x99x10,0,0,2,0.15,1,0,0,3,1.5,0.5
0035,true,true,30x99x10,0,0,2,0.15,1,0,0,3,2,0.5
0036,true,true,30x99x10,0,0,2,0.15,1,0,0,3,0,1
0037,true,true,30x99x10,0,0,2,0.15,1,0,0,3,0.5,1
0038,true,true,30x99x10,0,0,2,0.15,1,0,0,3,1,1
0039,true,true,30x99x10,0,0,2,0.15,1,0,0,3,1.5,1
0040,true,true,30x99x10,0,0,2,0.15,1,0,0,3,2,1
0041,true,true,30x99x10,0,0,2,0.15,1,0,0,3,0,1.5
0042,true,true,30x99x10,0,0,2,0.15,1,0,0,3,0.5,1.5
0043,true,true,30x99x10,0,0,2,0.15,1,0,0,3,1,1.5
0044,true,true,30x99x10,0,0,2,0.15,1,0,0,3,1.5,1.5
0045,true,true,30x99x10,0,0,2,0.15,1,0,0,3,2,1.5
0046,true,true,30x99x10,0,0,2,0.15,1,0,0,3,0,2
0047,true,true,30x99x10,0,0,2,0.15,1,0,0,3,0.5,2
0048,true,true,30x99x10,0,0,2,0.15,1,0,0,3,1,2
0049,true,true,30x99x10,0,0,2,0.15,1,0,0,3,1.5,2
0050,true,true,30x99x10,0,0,2,0.15,1,0,0,3,2,2
0051,true,true,30x99x10,0,0,2,0.25,1,0,0,3,0,0
0052,true,true,30x99x10,0,0,2,0.25,1,0,0,3,0.5,0
0053,true,true,30x99x10,0,0,2,0.25,1,0,0,3,1,0
0054,true,true,30x99x10,0,0,2,0.25,1,0,0,3,1.5,0
0055,true,true,30x99x10,0,0,2,0.25,1,0,0,3,2,0
0056,true,true,30x99x10,0,0,2,0.25,1,0,0,3,0,0.5
0057,true,true,30x99x10,0,0,2,0.25,1,0,0,3,0.5,0.5
0058,true,true,30x99x10,0,0,2,0.25,1,0,0,3,1,0.5
0059,true,true,30x99x10,0,0,2,0.25,1,0,0,3,1.5,0.5
0060,true,true,30x99x10,0,0,2,0.25,1,0,0,3,2,0.5
0061,true,true,30x99x10,0,0,2,0.25,1,0,0,3,0,1
0062,true,true,30x99x10,0,0,2,0.25,1,0,0,3,0.5,1
0063,true,true,30x99x10,0,0,2,0.25,1,0,0,3,1,1
0064,true,true,30x99x10,0,0,2,0.25,1,0,0,3,1.5,1
0065,true,true,30x99x10,0,0,2,0.25,1,0,0,3,2,1
0066,true,true,30x99x10,0,0,2,0.25,1,0,0,3,0,1.5
0067,true,true,30x99x10,0,0,2,0.25,1,0,0,3,0.5,1.5
0068,true,true,30x99x10,0,0,2,0.25,1,0,0,3,1,1.5
0069,true,true,30x99x10,0,0,2,0.25,1,0,0,3,1.5,1.5
0070,true,true,30x99x10,0,0,2,0.25,1,0,0,3,2,1.5
0071,true,true,30x99x10,0,0,2,0.25,1,0,0,3,0,2
0072,true,true,30x99x10,0,0,2,0.25,1,0,0,3,0.5,2
0073,true,true,30x99x10,0,0,2,0.25,1,0,0,3,1,2
0074,true,true,30x99x10,0,0,2,0.25,1,0,0,3,1.5,2
0075,true,true,30x99x10,0,0,2,0.25,1,0,0,3,2,2
0076,true,true,30x99x10,0,1,2,0.05,0,0,0,3,0,0.5
0077,true,true,30x99x10,0,1,2,0.05,0,0.25,0,3,0,0.5
0078,true,true,30x99x10,0,1,2,0.05,0,0.5,0,3,0,0.5
0079,true,true,30x99x10,0,1,2,0.05,0,0.75,0,3,0,0.5
0080,true,true,30x99x10,0,1,2,0.05,0,1,0,3,0,0.5
0081,true,true,30x99x10,0,1,2,0.05,0.25,0,0,3,0,0.5
0082,true,true,30x99x10,0,1,2,0.05,0.25,0.25,0,3,0,0.5
0083,true,true,30x99x10,0,1,2,0.05,0.25,0.5,0,3,0,0.5
0084,true,true,30x99x10,0,1,2,0.05,0.25,0.75,0,3,0,0.5
0085,true,true,30x99x10,0,1,2,0.05,0.25,1,0,3,0,0.5
0086,true,true,30x99x10,0,1,2,0.05,0.5,0,0,3,0,0.5
0087,true,true,30x99x10,0,1,2,0.05,0.5,0.25,0,3,0,0.5
0088,true,true,30x99x10,0,1,2,0.05,0.5,0.5,0,3,0,0.5
0089,true,true,30x99x10,0,1,2,0.05,0.5,0.75,0,3,0,0.5
0090,true,true,30x99x10,0,1,2,0.05,0.5,1,0,3,0,0.5
0091,true,true,30x99x10,0,1,2,0.05,0.75,0,0,3,0,0.5
0092,true,true,30x99x10,0,1,2,0.05,0.75,0.25,0,3,0,0.5
0093,true,true,30x99x10,0,1,2,0.05,0.75,0.5,0,3,0,0.5
0094,true,true,30x99x10,0,1,2,0.05,0.75,0.75,0,3,0,0.5
0095,true,true,30x99x10,0,1,2,0.05,0.75,1,0,3,0,0.5
0096,true,true,30x99x10,0,1,2,0.05,1,0,0,3,0,0.5
0097,true,true,30x99x10,0,1,2,0.05,1,0.25,0,3,0,0.5
0098,true,true,30x99x10,0,1,2,0.05,1,0.5,0,3,0,0.5
0099,true,true,30x99x10,0,1,2,0.05,1,0.75,0,3,0,0.5
0100,true,true,30x99x10,0,1,2,0.05,1,1,0,3,0,0.5
0101,true,true,30x99x10,0,1,2,0.15,0,0,0,3,0,0.5
0102,true,true,30x99x10,0,1,2,0.15,0,0.25,0,3,0,0.5
0103,true,true,30x99x10,0,1,2,0.15,0,0.5,0,3,0,0.5
0104,true,true,30x99x10,0,1,2,0.15,0,0.75,0,3,0,0.5
0105,true,true,30x99x10,0,1,2,0.15,0,1,0,3,0,0.5
0106,true,true,30x99x10,0,1,2,0.15,0.25,0,0,3,0,0.5
0107,true,true,30x99x10,0,1,2,0.15,0.25,0.25,0,3,0,0.5
0108,true,true,30x99x10,0,1,2,0.15,0.25,0.5,0,3,0,0.5
0109,true,true,30x99x10,0,1,2,0.15,0.25,0.75,0,3,0,0.5
0110,true,true,30x99x10,0,1,2,0.15,0.25,1,0,3,0,0.5
0111,true,true,30x99x10,0,1,2,0.15,0.5,0,0,3,0,0.5
0112,true,true,30x99x10,0,1,2,0.15,0.5,0.25,0,3,0,0.5
0113,true,true,30x99x10,0,1,2,0.15,0.5,0.5,0,3,0,0.5
0114,true,true,30x99x10,0,1,2,0.15,0.5,0.75,0,3,0,0.5
0115,true,true,30x99x10,0,1,2,0.15,0.5,1,0,3,0,0.5
0116,true,true,30x99x10,0,1,2,0.15,0.75,0,0,3,0,0.5
0117,true,true,30x99x10,0,1,2,0.15,0.75,0.25,0,3,0,0.5
0118,true,true,30x99x10,0,1,2,0.15,0.75,0.5,0,3,0,0.5
0119,true,true,30x99x10,0,1,2,0.15,0.75,0.75,0,3,0,0.5
0120,true,true,30x99x10,0,1,2,0.15,0.75,1,0,3,0,0.5
0121,true,true,30x99x10,0,1,2,0.15,1,0,0,3,0,0.5
0122,true,true,30x99x10,0,1,2,0.15,1,0.25,0,3,0,0.5
0123,true,true,30x99x10,0,1,2,0.15,1,0.5,0,3,0,0.5
0124,true,true,30x99x10,0,1,2,0.15,1,0.75,0,3,0,0.5
0125,true,true,30x99x10,0,1,2,0.15,1,1,0,3,0,0.5
0126,true,true,30x99x10,0,1,2,0.25,0,0,0,3,0,0.5
0127,true,true,30x99x10,0,1,2,0.25,0,0.25,0,3,0,0.5
0128,true,true,30x99x10,0,1,2,0.25,0,0.5,0,3,0,0.5
0129,true,true,30x99x10,0,1,2,0.25,0,0.75,0,3,0,0.5
0130,true,true,30x99x10,0,1,2,0.25,0,1,0,3,0,0.5
0131,true,true,30x99x10,0,1,2,0.25,0.25,0,0,3,0,0.5
0132,true,true,30x99x10,0,1,2,0.25,0.25,0.25,0,3,0,0.5
0133,true,true,30x99x10,0,1,2,0.25,0.25,0.5,0,3,0,0.5
0134,true,true,30x99x10,0,1,2,0.25,0.25,0.75,0,3,0,0.5
0135,true,true,30x99x10,0,1,2,0.25,0.25,1,0,3,0,0.5
0136,true,true,30x99x10,0,1,2,0.25,0.5,0,0,3,0,0.5
0137,true,true,30x99x10,0,1,2,0.25,0.5,0.25,0,3,0,0.5
0138,true,true,30x99x10,0,1,2,0.25,0.5,0.5,0,3,0,0.5
0139,true,true,30x99x10,0,1,2,0.25,0.5,0.75,0,3,0,0.5
0140,true,true,30x99x10,0,1,2,0.25,0.5,1,0,3,0,0.5
0141,true,true,30x99x10,0,1,2,0.25,0.75,0,0,3,0,0.5
0142,true,true,30x99x10,0,1,2,0.25,0.75,0.25,0,3,0,0.5
0143,true,true,30x99x10,0,1,2,0.25,0.75,0.5,0,3,0,0.5
0144,true,true,30x99x10,0,1,2,0.25,0.75,0.75,0,3,0,0.5
0145,true,true,30x99x10,0,1,2,0.25,0.75,1,0,3,0,0.5
0146,true,true,30x99x10,0,1,2,0.25,1,0,0,3,0,0.5
0147,true,true,30x99x10,0,1,2,0.25,1,0.25,0,3,0,0.5
0148,true,true,30x99x10,0,1,2,0.25,1,0.5,0,3,0,0.5
0149,true,true,30x99x10,0,1,2,0.25,1,0.75,0,3,0,0.5
0150,true,true,30x99x10,0,1,2,0.25,1,1,0,3,0,0.5
0151,true,true,30x20x10,0,0,2,0.25,1,1,0,3,0,1
0152,true,true,30x20x10,0,1,2,0.25,1,1,0,3,0,1
0153,true,true,30x99x20,0,0,2,0.25,1,1,0,3,0,1
0154,true,true,30x99x30,0,0,2,0.25,1,1,0,3,0,1
0155,true,true,30x99x40,0,0,2,0.25,1,1,0,3,0,1
0156,true,true,30x99x50,0,0,2,0.25,1,1,0,3,0,1
0157,true,true,30x99x20,0,1,2,0.25,1,1,0,3,0,1
0158,true,true,30x99x30,0,1,2,0.25,1,1,0,3,0,1
0159,true,true,30x99x40,0,1,2,0.25,1,1,0,3,0,1
0160,true,true,30x99x50,0,1,2,0.25,1,1,0,3,0,1
0161,true,true,30x40x10,0,0,2,0.25,1,1,0,3,0,1
0162,true,true,30x40x20,0,0,2,0.25,1,1,0,3,0,1
0163,true,true,30x40x30,0,0,2,0.25,1,1,0,3,0,1
0164,true,true,30x40x40,0,0,2,0.25,1,1,0,3,0,1
0165,true,true,30x40x50,0,0,2,0.25,1,1,0,3,0,1
0166,true,true,30x40x60,0,0,2,0.25,1,1,0,3,0,1
0167,true,true,30x40x70,0,0,2,0.25,1,1,0,3,0,1
0168,true,true,30x40x80,0,0,2,0.25,1,1,0,3,0,1
0169,true,true,30x40x90,0,0,2,0.25,1,1,0,3,0,1
0170,true,true,30x40x100,0,0,2,0.25,1,1,0,3,0,1
0171,true,true,30x40x10,0,1,2,0.25,1,1,0,3,0,1
0172,true,true,30x40x20,0,1,2,0.25,1,1,0,3,0,1
0173,true,true,30x40x30,0,1,2,0.25,1,1,0,3,0,1
0174,true,true,30x40x40,0,1,2,0.25,1,1,0,3,0,1
0175,true,true,30x40x50,0,1,2,0.25,1,1,0,3,0,1
0176,true,true,30x40x60,0,1,2,0.25,1,1,0,3,0,1
0177,true,true,30x40x70,0,1,2,0.25,1,1,0,3,0,1
0178,true,true,30x40x80,0,1,2,0.25,1,1,0,3,0,1
0179,true,true,30x40x90,0,1,2,0.25,1,1,0,3,0,1
0180,true,true,30x40x100,0,1,2,0.25,1,1,0,3,0,1
0181,true,false,30x40x50,0,0,2,0.25,1,1,0,3,0,1
0182,true,false,30x40x50,0,1,2,0.25,1,1,0,3,0,1
0183,true,true,30x40x50,0,0,2,0.25,1,1,0,2,0,1
0184,true,true,30x40x50,0,0,2,0.25,1,1,0,3,0,1
0185,true,true,30x40x50,0,0,2,0.25,1,1,0,4,0,1
0186,true,true,30x40x50,0,0,2,0.25,1,1,0,5,0,1
0187,true,true,30x40x50,0,0,2,0.25,1,1,0,6,0,1
0188,true,true,30x40x50,0,0,2,0.25,1,1,0,7,0,1
0189,true,true,30x40x50,0,0,2,0.25,1,1,0,8,0,1
0190,true,true,30x40x50,0,0,2,0.25,1,1,0,9,0,1
0191,true,true,30x40x50,0,0,2,0.25,1,1,0,10,0,1
0192,true,true,30x40x50,0,1,2,0.25,1,1,0,2,0,1
0193,true,true,30x40x50,0,1,2,0.25,1,1,0,3,0,1
0194,true,true,30x40x50,0,1,2,0.25,1,1,0,4,0,1
0195,true,true,30x40x50,0,1,2,0.25,1,1,0,5,0,1
0196,true,true,30x40x50,0,1,2,0.25,1,1,0,6,0,1
0197,true,true,30x40x50,0,1,2,0.25,1,1,0,7,0,1
0198,true,true,30x40x50,0,1,2,0.25,1,1,0,8,0,1
0199,true,true,30x40x50,0,1,2,0.25,1,1,0,9,0,1
0200,true,true,30x40x50,0,1,2,0.25,1,1,0,10,0,1
0201,true,true,30x40x50,0,0,2,0.25,1,1,0,0.5,0,1
0202,true,true,30x40x50,0,0,2,0.25,1,1,0,1,0,1
0203,true,true,30x40x50,0,1,2,0.25,1,1,0,0.5,0,1
0204,true,true,30x40x50,0,1,2,0.25,1,1,0,1,0,1
0205,true,true,30x40x50,0,0,2,0.05,1,1,0,1,0,0.5
0206,true,true,30x40x50,0,0,2,0.05,1,1,0,1,0.5,0.5
0207,true,true,30x40x50,0,0,2,0.05,1,1,0,1,1,0.5
0208,true,true,30x40x50,0,0,2,0.05,1,1,0,1,0,1
0209,true,true,30x40x50,0,0,2,0.05,1,1,0,1,0.5,1
0210,true,true,30x40x50,0,0,2,0.05,1,1,0,1,1,1
0211,true,true,30x40x50,0,0,2,0.05,1,1,0,1,0,1.5
0212,true,true,30x40x50,0,0,2,0.05,1,1,0,1,0.5,1.5
0213,true,true,30x40x50,0,0,2,0.05,1,1,0,1,1,1.5
0214,true,true,30x40x50,0,0,2,0.1,1,1,0,1,0,0.5
0215,true,true,30x40x50,0,0,2,0.1,1,1,0,1,0.5,0.5
0216,true,true,30x40x50,0,0,2,0.1,1,1,0,1,1,0.5
0217,true,true,30x40x50,0,0,2,0.1,1,1,0,1,0,1
0218,true,true,30x40x50,0,0,2,0.1,1,1,0,1,0.5,1
0219,true,true,30x40x50,0,0,2,0.1,1,1,0,1,1,1
0220,true,true,30x40x50,0,0,2,0.1,1,1,0,1,0,1.5
0221,true,true,30x40x50,0,0,2,0.1,1,1,0,1,0.5,1.5
0222,true,true,30x40x50,0,0,2,0.1,1,1,0,1,1,1.5
0223,true,true,30x40x50,0,0,2,0.15,1,1,0,1,0,0.5
0224,true,true,30x40x50,0,0,2,0.15,1,1,0,1,0.5,0.5
0225,true,true,30x40x50,0,0,2,0.15,1,1,0,1,1,0.5
0226,true,true,30x40x50,0,0,2,0.15,1,1,0,1,0,1
0227,true,true,30x40x50,0,0,2,0.15,1,1,0,1,0.5,1
0228,true,true,30x40x50,0,0,2,0.15,1,1,0,1,1,1
0229,true,true,30x40x50,0,0,2,0.15,1,1,0,1,0,1.5
0230,true,true,30x40x50,0,0,2,0.15,1,1,0,1,0.5,1.5
0231,true,true,30x40x50,0,0,2,0.15,1,1,0,1,1,1.5
0232,true,true,30x40x50,0,0,2,0.2,1,1,0,1,0,0.5
0233,true,true,30x40x50,0,0,2,0.2,1,1,0,1,0.5,0.5
0234,true,true,30x40x50,0,0,2,0.2,1,1,0,1,1,0.5
0235,true,true,30x40x50,0,0,2,0.2,1,1,0,1,0,1
0236,true,true,30x40x50,0,0,2,0.2,1,1,0,1,0.5,1
0237,true,true,30x40x50,0,0,2,0.2,1,1,0,1,1,1
0238,true,true,30x40x50,0,0,2,0.2,1,1,0,1,0,1.5
0239,true,true,30x40x50,0,0,2,0.2,1,1,0,1,0.5,1.5
0240,true,true,30x40x50,0,0,2,0.2,1,1,0,1,1,1.5
0241,true,true,30x40x50,0,0,2,0.25,1,1,0,1,0,0.5
0242,true,true,30x40x50,0,0,2,0.25,1,1,0,1,0.5,0.5
0243,true,true,30x40x50,0,0,2,0.25,1,1,0,1,1,0.5
0244,true,true,30x40x50,0,0,2,0.25,1,1,0,1,0,1
0245,true,true,30x40x50,0,0,2,0.25,1,1,0,1,0.5,1
0246,true,true,30x40x50,0,0,2,0.25,1,1,0,1,1,1
0247,true,true,30x40x50,0,0,2,0.25,1,1,0,1,0,1.5
0248,true,true,30x40x50,0,0,2,0.25,1,1,0,1,0.5,1.5
0249,true,true,30x40x50,0,0,2,0.25,1,1,0,1,1,1.5
0250,true,true,30x40x50,0,0,2,0.05,1,1,0,2,0,0.5
0251,true,true,30x40x50,0,0,2,0.05,1,1,0,2,0.5,0.5
0252,true,true,30x40x50,0,0,2,0.05,1,1,0,2,1,0.5
0253,true,true,30x40x50,0,0,2,0.05,1,1,0,2,0,1
0254,true,true,30x40x50,0,0,2,0.05,1,1,0,2,0.5,1
0255,true,true,30x40x50,0,0,2,0.05,1,1,0,2,1,1
0256,true,true,30x40x50,0,0,2,0.05,1,1,0,2,0,1.5
0257,true,true,30x40x50,0,0,2,0.05,1,1,0,2,0.5,1.5
0258,true,true,30x40x50,0,0,2,0.05,1,1,0,2,1,1.5
0259,true,true,30x40x50,0,0,2,0.1,1,1,0,2,0,0.5
0260,true,true,30x40x50,0,0,2,0.1,1,1,0,2,0.5,0.5
0261,true,true,30x40x50,0,0,2,0.1,1,1,0,2,1,0.5
0262,true,true,30x40x50,0,0,2,0.1,1,1,0,2,0,1
0263,true,true,30x40x50,0,0,2,0.1,1,1,0,2,0.5,1
0264,true,true,30x40x50,0,0,2,0.1,1,1,0,2,1,1
