cfgid,usemsk,srcmsk,interp,pyramid,sim,bins,samples,iters,step,adaptive,auto,alpha,A,a,ds,be
0001,true,false,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,20,1000,5.0,0
0002,true,false,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,20,1000,5.0,0.001
0003,true,false,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,20,1000,5.0,0.01
0004,true,false,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,20,1000,5.0,0.1
0005,true,false,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,20,1000,5.0,1
0006,true,false,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,20,1000,5.0,2
0007,true,false,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,20,1000,2.5,0
0008,true,false,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,20,1000,2.5,0.001
0009,true,false,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,20,1000,2.5,0.01
0010,true,false,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,20,1000,2.5,0.1
0011,true,false,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,20,1000,2.5,1
0012,true,false,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,20,1000,2.5,2
0013,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,20,1000,5.0,0
0014,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,20,1000,5.0,0.001
0015,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,20,1000,5.0,0.01
0016,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,20,1000,5.0,0.1
0017,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,20,1000,5.0,1
0018,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,20,1000,5.0,2
0019,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,20,1000,2.5,0
0020,true,true,Linear,Recursive,NormalizedMutualInformation,64,500 1000 2000 4000,500,4.0 2.0 1.0 0.5,true,true,1.0,20,1000,2.5,0.001
