cfgid,usemsk,usepad,roi,interp,optim,linesearch,divini,srcgrd,ffdgrd,passdof,conjtot,levels,iters,steps,rejects,lastn,epsilon,sim,bins,padbins,window,ds,be,le,le_mu,le_lambda,le_rot,lj,lj_eps,nj,nj_eps,nj_gamma,im,imsteps,maxsv,nbch,uselie
0001,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0002,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0003,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0004,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0005,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0006,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0007,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00010,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0008,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00050,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0009,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00070,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0010,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00100,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0011,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00200,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0012,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00300,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0013,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00500,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0014,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00010,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0015,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00050,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0016,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00070,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0017,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00100,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0018,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00200,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0019,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00300,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0020,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Convolution,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00500,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0021,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00010,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0022,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00050,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0023,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00070,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0024,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00100,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0025,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00200,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0026,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00300,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0027,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,DMFFD,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00500,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,0,false
0028,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00010,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0029,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00050,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0030,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00070,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0031,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00100,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0032,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00200,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0033,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00300,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
0034,false,true,Union,Fast Linear,ConjugateGradientDescent,Adaptive,false,false,Analytic,false,true,3,100,12,2,0,0,NMI,64,false,5,2.5,0.00500,0,1,1.5,true,0,0.01,0,0.1,0.5,SS,64,0,2,false
