cfgid,vel,gce,sim,bins,levels,maxit,ds,be,jl,le
0001,true,false,NMI,64,3,300,2.5,0,0,0
0002,true,false,NMI,64,3,300,2.5,0.0001,0,0
0003,true,false,NMI,64,3,300,2.5,0.0005,0,0
0004,true,false,NMI,64,3,300,2.5,0.001,0,0
0005,true,false,NMI,64,3,300,2.5,0.005,0,0
0006,true,false,NMI,64,3,300,2.5,0.01,0,0
0007,true,false,NMI,64,3,300,2.5,0.05,0,0
0008,true,false,NMI,64,3,300,2.5,0.0001,0.00001,0
0009,true,false,NMI,64,3,300,2.5,0.0001,0.0001,0
0010,true,false,NMI,64,3,300,2.5,0.0001,0.001,0
0011,true,false,NMI,64,3,300,2.5,0.0001,0.01,0
0012,true,false,NMI,64,3,300,2.5,0.0001,0.1,0
0013,true,false,NMI,64,3,300,2.5,0.0005,0.00001,0
0014,true,false,NMI,64,3,300,2.5,0.0005,0.0001,0
0015,true,false,NMI,64,3,300,2.5,0.0005,0.001,0
0016,true,false,NMI,64,3,300,2.5,0.0005,0.01,0
0017,true,false,NMI,64,3,300,2.5,0.0005,0.1,0
0018,true,false,NMI,64,3,300,2.5,0.001,0.00001,0
0019,true,false,NMI,64,3,300,2.5,0.001,0.0001,0
0020,true,false,NMI,64,3,300,2.5,0.001,0.001,0
0021,true,false,NMI,64,3,300,2.5,0.001,0.01,0
0022,true,false,NMI,64,3,300,2.5,0.001,0.1,0
0023,true,false,NMI,64,3,300,2.5,0.0001,0,0.0001
0024,true,false,NMI,64,3,300,2.5,0.0001,0,0.0005
0025,true,false,NMI,64,3,300,2.5,0.0001,0,0.001
0026,true,false,NMI,64,3,300,2.5,0.0001,0,0.005
0027,true,false,NMI,64,3,300,2.5,0.0001,0,0.01
0028,true,false,NMI,64,3,300,2.5,0.0001,0,0.05
0029,true,false,NMI,64,3,300,2.5,0.0001,0,0.1
0030,true,false,NMI,64,3,300,2.5,0.0001,0.00001,0.0001
0031,true,false,NMI,64,3,300,2.5,0.0001,0.00001,0.0005
0032,true,false,NMI,64,3,300,2.5,0.0001,0.00001,0.001
0033,true,false,NMI,64,3,300,2.5,0.0001,0.00001,0.005
0034,true,false,NMI,64,3,300,2.5,0.0001,0.00001,0.01
0035,true,false,NMI,64,3,300,2.5,0.0001,0.00001,0.05
0036,true,false,NMI,64,3,300,2.5,0.0001,0.00001,0.1
0037,true,false,NMI,64,3,300,2.5,0.0005,0,0.0001
0038,true,false,NMI,64,3,300,2.5,0.0005,0,0.0005
0039,true,false,NMI,64,3,300,2.5,0.0005,0,0.001
0040,true,false,NMI,64,3,300,2.5,0.0005,0,0.005
0041,true,false,NMI,64,3,300,2.5,0.0005,0,0.01
0042,true,false,NMI,64,3,300,2.5,0.0005,0,0.05
0043,true,false,NMI,64,3,300,2.5,0.0005,0,0.1
0044,true,false,NMI,64,3,300,2.5,0.0005,0.00001,0.0001
0045,true,false,NMI,64,3,300,2.5,0.0005,0.00001,0.0005
0046,true,false,NMI,64,3,300,2.5,0.0005,0.00001,0.001
0047,true,false,NMI,64,3,300,2.5,0.0005,0.00001,0.005
0048,true,false,NMI,64,3,300,2.5,0.0005,0.00001,0.01
0049,true,false,NMI,64,3,300,2.5,0.0005,0.00001,0.05
0050,true,false,NMI,64,3,300,2.5,0.0005,0.00001,0.1
0051,true,false,NMI,64,3,300,2.5,0.001,0,0.0001
0052,true,false,NMI,64,3,300,2.5,0.001,0,0.0005
0053,true,false,NMI,64,3,300,2.5,0.001,0,0.001
