cfgid,vel,sim,bins,levels,maxit,ds,be,jl,le
0001,true,NMI,64,3,300,2.5,0,0,0
0002,true,NMI,64,3,300,2.5,0.0001,0,0
0003,true,NMI,64,3,300,2.5,0.0005,0,0
0004,true,NMI,64,3,300,2.5,0.001,0,0
0005,true,NMI,64,3,300,2.5,0.005,0,0
0006,true,NMI,64,3,300,2.5,0.01,0,0
0007,true,NMI,64,3,300,2.5,0.05,0,0
0008,true,NMI,64,3,300,2.5,0.001,0.0001,0
0009,true,NMI,64,3,300,2.5,0.001,0.0005,0
0010,true,NMI,64,3,300,2.5,0.001,0.001,0
0011,true,NMI,64,3,300,2.5,0.001,0.005,0
0012,true,NMI,64,3,300,2.5,0.001,0.01,0
0013,true,NMI,64,3,300,2.5,0.001,0.05,0
0014,true,NMI,64,3,300,2.5,0.001,0.1,0
0015,true,NMI,64,3,300,2.5,0.001,0.5,0
0016,true,NMI,64,3,300,2.5,0.005,0.0001,0
0017,true,NMI,64,3,300,2.5,0.005,0.0005,0
0018,true,NMI,64,3,300,2.5,0.005,0.001,0
0019,true,NMI,64,3,300,2.5,0.005,0.005,0
0020,true,NMI,64,3,300,2.5,0.005,0.01,0
0021,true,NMI,64,3,300,2.5,0.005,0.05,0
0022,true,NMI,64,3,300,2.5,0.005,0.1,0
0023,true,NMI,64,3,300,2.5,0.005,0.5,0
0024,true,NMI,64,3,300,2.5,0.01,0.0001,0
0025,true,NMI,64,3,300,2.5,0.01,0.0005,0
0026,true,NMI,64,3,300,2.5,0.01,0.001,0
0027,true,NMI,64,3,300,2.5,0.01,0.005,0
0028,true,NMI,64,3,300,2.5,0.01,0.01,0
0029,true,NMI,64,3,300,2.5,0.01,0.05,0
0030,true,NMI,64,3,300,2.5,0.01,0.1,0
0031,true,NMI,64,3,300,2.5,0.01,0.5,0
0032,true,NMI,64,3,300,2.5,0.001,0,0.0001
0033,true,NMI,64,3,300,2.5,0.001,0,0.0005
0034,true,NMI,64,3,300,2.5,0.001,0,0.001
0035,true,NMI,64,3,300,2.5,0.001,0,0.005
0036,true,NMI,64,3,300,2.5,0.001,0,0.01
0037,true,NMI,64,3,300,2.5,0.001,0,0.05
0038,true,NMI,64,3,300,2.5,0.001,0,0.1
0039,true,NMI,64,3,300,2.5,0.001,0.0001,0.0001
0040,true,NMI,64,3,300,2.5,0.001,0.0001,0.0005
0041,true,NMI,64,3,300,2.5,0.001,0.0001,0.001
0042,true,NMI,64,3,300,2.5,0.001,0.0001,0.005
0043,true,NMI,64,3,300,2.5,0.001,0.0001,0.01
0044,true,NMI,64,3,300,2.5,0.001,0.0001,0.05
0045,true,NMI,64,3,300,2.5,0.001,0.0001,0.1
0046,true,NMI,64,3,300,2.5,0.001,0.01,0.0001
0047,true,NMI,64,3,300,2.5,0.001,0.01,0.0005
0048,true,NMI,64,3,300,2.5,0.001,0.01,0.001
0049,true,NMI,64,3,300,2.5,0.001,0.01,0.005
0050,true,NMI,64,3,300,2.5,0.001,0.01,0.01
0051,true,NMI,64,3,300,2.5,0.001,0.01,0.05
0052,true,NMI,64,3,300,2.5,0.001,0.01,0.1
0053,true,NMI,64,3,300,2.5,0.005,0,0.0001
0054,true,NMI,64,3,300,2.5,0.005,0,0.0005
0055,true,NMI,64,3,300,2.5,0.005,0,0.001
0056,true,NMI,64,3,300,2.5,0.005,0,0.005
0057,true,NMI,64,3,300,2.5,0.005,0,0.01
0058,true,NMI,64,3,300,2.5,0.005,0,0.05
0059,true,NMI,64,3,300,2.5,0.005,0,0.1
0060,true,NMI,64,3,300,2.5,0.005,0.0001,0.0001
0061,true,NMI,64,3,300,2.5,0.005,0.0001,0.0005
0062,true,NMI,64,3,300,2.5,0.005,0.0001,0.001
0063,true,NMI,64,3,300,2.5,0.005,0.0001,0.005
0064,true,NMI,64,3,300,2.5,0.005,0.0001,0.01
0065,true,NMI,64,3,300,2.5,0.005,0.0001,0.05
0066,true,NMI,64,3,300,2.5,0.005,0.0001,0.1
0067,true,NMI,64,3,300,2.5,0.005,0.01,0.0001
0068,true,NMI,64,3,300,2.5,0.005,0.01,0.0005
0069,true,NMI,64,3,300,2.5,0.005,0.01,0.001
0070,true,NMI,64,3,300,2.5,0.005,0.01,0.005
0071,true,NMI,64,3,300,2.5,0.005,0.01,0.01
0072,true,NMI,64,3,300,2.5,0.005,0.01,0.05
0073,true,NMI,64,3,300,2.5,0.005,0.01,0.1
0074,true,NMI,64,3,300,2.5,0.01,0,0.0001
0075,true,NMI,64,3,300,2.5,0.01,0,0.0005
0076,true,NMI,64,3,300,2.5,0.01,0,0.001
0077,true,NMI,64,3,300,2.5,0.01,0,0.005
0078,true,NMI,64,3,300,2.5,0.01,0,0.01
0079,true,NMI,64,3,300,2.5,0.01,0,0.05
0080,true,NMI,64,3,300,2.5,0.01,0,0.1
0081,true,NMI,64,3,300,2.5,0.01,0.0001,0.0001
0082,true,NMI,64,3,300,2.5,0.01,0.0001,0.0005
0083,true,NMI,64,3,300,2.5,0.01,0.0001,0.001
0084,true,NMI,64,3,300,2.5,0.01,0.0001,0.005
0085,true,NMI,64,3,300,2.5,0.01,0.0001,0.01
0086,true,NMI,64,3,300,2.5,0.01,0.0001,0.05
0087,true,NMI,64,3,300,2.5,0.01,0.0001,0.1
0088,true,NMI,64,3,300,2.5,0.01,0.01,0.0001
0089,true,NMI,64,3,300,2.5,0.01,0.01,0.0005
0090,true,NMI,64,3,300,2.5,0.01,0.01,0.001
0091,true,NMI,64,3,300,2.5,0.01,0.01,0.005
0092,true,NMI,64,3,300,2.5,0.01,0.01,0.01
0093,true,NMI,64,3,300,2.5,0.01,0.01,0.05
0094,true,NMI,64,3,300,2.5,0.01,0.01,0.1
0095,true,NMI,64,3,500,2.5,0.001,0,0
0096,true,NMI,64,3,750,2.5,0.001,0,0
0097,true,NMI,64,3,1000,2.5,0.001,0,0
0098,true,NMI,64,4,300,2.5,0.001,0,0
0099,true,NMI,64,4,500,2.5,0.001,0,0
0100,true,NMI,64,4,750,2.5,0.001,0,0
0101,true,NMI,64,4,1000,2.5,0.001,0,0
0102,true,NMI,64,3,500,2.5,0.001,0.0001,0
0103,true,NMI,64,3,750,2.5,0.001,0.0001,0
0104,true,NMI,64,3,1000,2.5,0.001,0.0001,0
0105,true,NMI,64,4,300,2.5,0.001,0.0001,0
0106,true,NMI,64,4,500,2.5,0.001,0.0001,0
0107,true,NMI,64,4,750,2.5,0.001,0.0001,0
0108,true,NMI,64,4,1000,2.5,0.001,0.0001,0
0109,true,NMI,64,3,500,2.5,0.001,0.01,0
0110,true,NMI,64,3,750,2.5,0.001,0.01,0
