cfgid,usemsk,usepad,roi,interp,optim,linesearch,divini,srcgrd,ffdgrd,passdof,conjtot,levels,iters,steps,rejects,lastn,epsilon,sim,bins,padbins,window,ds,be,tp,vp,jaceps,gamma
0001,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,300,20,2,10,0.0001,NMI,64,false,5,2.5,0.0001,0,0,0.1,0.5
0002,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,300,20,2,10,0.0001,NMI,64,false,5,2.5,0.0005,0,0,0.1,0.5
0003,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,300,20,2,10,0.0001,NMI,64,false,5,2.5,0.001,0,0,0.1,0.5
0004,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,300,20,2,10,0.0001,NMI,64,false,5,2.5,0.002,0,0,0.1,0.5
0005,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,300,20,2,10,0.0001,NMI,64,false,5,2.5,0.003,0,0,0.1,0.5
0006,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,300,20,2,10,0.0001,NMI,64,false,5,2.5,0.004,0,0,0.1,0.5
0007,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,300,20,2,10,0.0001,NMI,64,false,5,2.5,0.005,0,0,0.1,0.5
0008,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,300,20,2,10,0.0001,NMI,64,false,5,2.5,0.006,0,0,0.1,0.5
0009,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,300,20,2,10,0.0001,NMI,64,false,5,2.5,0.007,0,0,0.1,0.5
0010,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,300,20,2,10,0.0001,NMI,64,false,5,2.5,0.008,0,0,0.1,0.5
0011,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,300,20,2,10,0.0001,NMI,64,false,5,2.5,0.009,0,0,0.1,0.5
0012,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,300,20,2,10,0.0001,NMI,64,false,5,2.5,0.01,0,0,0.1,0.5
0013,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,300,20,2,10,0.0001,NMI,64,false,5,2.5,0.05,0,0,0.1,0.5
0014,false,true,Union,Linear,ConjugateGradientDescent,Adaptive,false,true,Analytic,false,true,4,300,20,2,10,0.0001,NMI,64,false,5,2.5,0,0,0,0.1,0.5
